rover,earth_date,camera,photo_count,total_photos
curiosity,2023-01-31,RHAZ,2,514
curiosity,2023-01-31,MAST,305,514
curiosity,2023-01-31,CHEMCAM,21,514
curiosity,2023-01-31,MAHLI,33,514
curiosity,2023-01-31,NAVCAM,149,514
Perseverance,2023-01-01,EDL_RDCAM,190,469
Perseverance,2023-01-01,EDL_PUCAM1,190,469
Perseverance,2023-01-01,MCZ_RIGHT,42,469
Perseverance,2023-01-01,MCZ_LEFT,42,469
Perseverance,2023-01-01,SKYCAM,5,469
Perseverance,2023-01-02,NAVCAM_LEFT,15,33
Perseverance,2023-01-02,MCZ_RIGHT,7,33
Perseverance,2023-01-02,MCZ_LEFT,7,33
Perseverance,2023-01-02,SKYCAM,2,33
Perseverance,2023-01-02,SUPERCAM_RMI,2,33
Perseverance,2023-01-03,EDL_PUCAM2,195,235
Perseverance,2023-01-03,SKYCAM,4,235
Perseverance,2023-01-03,SHERLOC_WATSON,36,235
Perseverance,2023-01-04,NAVCAM_LEFT,126,332
Perseverance,2023-01-04,NAVCAM_RIGHT,85,332
Perseverance,2023-01-04,MCZ_RIGHT,13,332
Perseverance,2023-01-04,MCZ_LEFT,13,332
Perseverance,2023-01-04,FRONT_HAZCAM_LEFT_A,42,332
Perseverance,2023-01-04,FRONT_HAZCAM_RIGHT_A,41,332
Perseverance,2023-01-04,REAR_HAZCAM_LEFT,4,332
Perseverance,2023-01-04,REAR_HAZCAM_RIGHT,4,332
Perseverance,2023-01-04,SKYCAM,4,332
Perseverance,2023-01-05,EDL_RDCAM,190,564
Perseverance,2023-01-05,EDL_PUCAM1,195,564
Perseverance,2023-01-05,NAVCAM_LEFT,21,564
Perseverance,2023-01-05,MCZ_RIGHT,40,564
Perseverance,2023-01-05,MCZ_LEFT,40,564
Perseverance,2023-01-05,SHERLOC_WATSON,36,564
Perseverance,2023-01-05,SUPERCAM_RMI,42,564
Perseverance,2023-01-06,EDL_PUCAM1,145,746
Perseverance,2023-01-06,EDL_PUCAM2,195,746
Perseverance,2023-01-06,NAVCAM_LEFT,44,746
Perseverance,2023-01-06,MCZ_RIGHT,177,746
Perseverance,2023-01-06,MCZ_LEFT,177,746
Perseverance,2023-01-06,SUPERCAM_RMI,8,746
Perseverance,2023-01-07,NAVCAM_LEFT,102,850
Perseverance,2023-01-07,NAVCAM_RIGHT,80,850
Perseverance,2023-01-07,MCZ_RIGHT,305,850
Perseverance,2023-01-07,MCZ_LEFT,237,850
Perseverance,2023-01-07,FRONT_HAZCAM_LEFT_A,49,850
Perseverance,2023-01-07,FRONT_HAZCAM_RIGHT_A,49,850
Perseverance,2023-01-07,REAR_HAZCAM_LEFT,4,850
Perseverance,2023-01-07,REAR_HAZCAM_RIGHT,4,850
Perseverance,2023-01-07,SUPERCAM_RMI,20,850
Perseverance,2023-01-08,NAVCAM_LEFT,44,80
Perseverance,2023-01-08,MCZ_RIGHT,14,80
Perseverance,2023-01-08,MCZ_LEFT,14,80
Perseverance,2023-01-08,SUPERCAM_RMI,8,80
Perseverance,2023-01-09,NAVCAM_LEFT,29,137
Perseverance,2023-01-09,MCZ_RIGHT,33,137
Perseverance,2023-01-09,MCZ_LEFT,33,137
Perseverance,2023-01-09,SKYCAM,2,137
Perseverance,2023-01-09,SHERLOC_WATSON,40,137
Perseverance,2023-01-10,EDL_PUCAM2,200,288
Perseverance,2023-01-10,NAVCAM_LEFT,42,288
Perseverance,2023-01-10,MCZ_RIGHT,12,288
Perseverance,2023-01-10,SKYCAM,2,288
Perseverance,2023-01-10,SUPERCAM_RMI,32,288
Perseverance,2023-01-11,NAVCAM_LEFT,106,349
Perseverance,2023-01-11,NAVCAM_RIGHT,91,349
Perseverance,2023-01-11,MCZ_RIGHT,11,349
Perseverance,2023-01-11,MCZ_LEFT,11,349
Perseverance,2023-01-11,FRONT_HAZCAM_LEFT_A,50,349
Perseverance,2023-01-11,FRONT_HAZCAM_RIGHT_A,48,349
Perseverance,2023-01-11,REAR_HAZCAM_LEFT,4,349
Perseverance,2023-01-11,REAR_HAZCAM_RIGHT,4,349
Perseverance,2023-01-11,SKYCAM,4,349
Perseverance,2023-01-11,SUPERCAM_RMI,20,349
Perseverance,2023-01-12,EDL_PUCAM1,224,351
Perseverance,2023-01-12,EDL_PUCAM2,29,351
Perseverance,2023-01-12,NAVCAM_LEFT,26,351
Perseverance,2023-01-12,MCZ_RIGHT,8,351
Perseverance,2023-01-12,MCZ_LEFT,8,351
Perseverance,2023-01-12,SHERLOC_WATSON,56,351
Perseverance,2023-01-13,NAVCAM_LEFT,15,263
Perseverance,2023-01-13,MCZ_RIGHT,99,263
Perseverance,2023-01-13,MCZ_LEFT,101,263
Perseverance,2023-01-13,SKYCAM,4,263
Perseverance,2023-01-13,SUPERCAM_RMI,44,263
Perseverance,2023-01-14,NAVCAM_LEFT,21,179
Perseverance,2023-01-14,MCZ_RIGHT,60,179
Perseverance,2023-01-14,MCZ_LEFT,60,179
Perseverance,2023-01-14,SKYCAM,2,179
Perseverance,2023-01-14,SUPERCAM_RMI,36,179
Perseverance,2023-01-15,NAVCAM_LEFT,93,357
Perseverance,2023-01-15,NAVCAM_RIGHT,88,357
Perseverance,2023-01-15,MCZ_RIGHT,44,357
Perseverance,2023-01-15,MCZ_LEFT,42,357
Perseverance,2023-01-15,FRONT_HAZCAM_LEFT_A,41,357
Perseverance,2023-01-15,FRONT_HAZCAM_RIGHT_A,41,357
