rover,earth_date,camera,photo_count,total_photos,photo_ratio
Perseverance,2023-01-18,MCZ_LEFT,85,478,0.17782426778242677
Perseverance,2023-01-18,FRONT_HAZCAM_LEFT_A,38,478,0.0794979079497908
Perseverance,2023-01-18,FRONT_HAZCAM_RIGHT_A,38,478,0.0794979079497908
Perseverance,2023-01-18,REAR_HAZCAM_LEFT,4,478,0.008368200836820083
Perseverance,2023-01-18,REAR_HAZCAM_RIGHT,4,478,0.008368200836820083
Perseverance,2023-01-18,SKYCAM,2,478,0.0041841004184100415
Perseverance,2023-01-18,SUPERCAM_RMI,20,478,0.04184100418410042
Perseverance,2023-01-19,NAVCAM_LEFT,21,605,0.03471074380165289
Perseverance,2023-01-19,MCZ_RIGHT,276,605,0.456198347107438
Perseverance,2023-01-19,MCZ_LEFT,276,605,0.456198347107438
Perseverance,2023-01-19,SKYCAM,4,605,0.006611570247933884
Perseverance,2023-01-19,SHERLOC_WATSON,24,605,0.03966942148760331
Perseverance,2023-01-19,SUPERCAM_RMI,4,605,0.006611570247933884
Perseverance,2023-01-20,NAVCAM_LEFT,17,87,0.19540229885057472
Perseverance,2023-01-20,NAVCAM_RIGHT,2,87,0.022988505747126436
Perseverance,2023-01-20,MCZ_RIGHT,7,87,0.08045977011494253
Perseverance,2023-01-20,MCZ_LEFT,9,87,0.10344827586206896
Perseverance,2023-01-20,SKYCAM,2,87,0.022988505747126436
Perseverance,2023-01-20,SHERLOC_WATSON,44,87,0.5057471264367817
Perseverance,2023-01-20,SUPERCAM_RMI,6,87,0.06896551724137931
Perseverance,2023-01-21,NAVCAM_LEFT,101,416,0.24278846153846154
Perseverance,2023-01-21,NAVCAM_RIGHT,75,416,0.18028846153846154
Perseverance,2023-01-21,MCZ_RIGHT,10,416,0.02403846153846154
Perseverance,2023-01-21,MCZ_LEFT,10,416,0.02403846153846154
Perseverance,2023-01-21,FRONT_HAZCAM_LEFT_A,41,416,0.0985576923076923
Perseverance,2023-01-21,FRONT_HAZCAM_RIGHT_A,41,416,0.0985576923076923
Perseverance,2023-01-21,REAR_HAZCAM_LEFT,4,416,0.009615384615384616
Perseverance,2023-01-21,REAR_HAZCAM_RIGHT,4,416,0.009615384615384616
Perseverance,2023-01-21,SKYCAM,4,416,0.009615384615384616
Perseverance,2023-01-21,SHERLOC_WATSON,126,416,0.30288461538461536
Perseverance,2023-01-22,MCZ_RIGHT,28,114,0.24561403508771928
Perseverance,2023-01-22,MCZ_LEFT,28,114,0.24561403508771928
Perseverance,2023-01-22,SKYCAM,2,114,0.017543859649122806
Perseverance,2023-01-22,SUPERCAM_RMI,56,114,0.49122807017543857
Perseverance,2023-01-23,NAVCAM_LEFT,40,126,0.31746031746031744
Perseverance,2023-01-23,NAVCAM_RIGHT,24,126,0.19047619047619047
Perseverance,2023-01-23,MCZ_RIGHT,15,126,0.11904761904761904
Perseverance,2023-01-23,MCZ_LEFT,15,126,0.11904761904761904
Perseverance,2023-01-23,FRONT_HAZCAM_LEFT_A,4,126,0.031746031746031744
Perseverance,2023-01-23,FRONT_HAZCAM_RIGHT_A,4,126,0.031746031746031744
Perseverance,2023-01-23,REAR_HAZCAM_LEFT,1,126,0.007936507936507936
Perseverance,2023-01-23,REAR_HAZCAM_RIGHT,1,126,0.007936507936507936
Perseverance,2023-01-23,SKYCAM,4,126,0.031746031746031744
Perseverance,2023-01-23,SUPERCAM_RMI,18,126,0.14285714285714285
Perseverance,2023-01-24,NAVCAM_LEFT,26,44,0.5909090909090909
Perseverance,2023-01-24,MCZ_RIGHT,6,44,0.13636363636363635
Perseverance,2023-01-24,MCZ_LEFT,6,44,0.13636363636363635
Perseverance,2023-01-24,SKYCAM,2,44,0.045454545454545456
Perseverance,2023-01-24,SUPERCAM_RMI,4,44,0.09090909090909091
Perseverance,2023-01-25,NAVCAM_LEFT,65,145,0.4482758620689655
Perseverance,2023-01-25,NAVCAM_RIGHT,50,145,0.3448275862068966
Perseverance,2023-01-25,MCZ_RIGHT,11,145,0.07586206896551724
Perseverance,2023-01-25,MCZ_LEFT,11,145,0.07586206896551724
Perseverance,2023-01-25,FRONT_HAZCAM_LEFT_A,1,145,0.006896551724137931
Perseverance,2023-01-25,FRONT_HAZCAM_RIGHT_A,1,145,0.006896551724137931
Perseverance,2023-01-25,REAR_HAZCAM_LEFT,1,145,0.006896551724137931
Perseverance,2023-01-25,REAR_HAZCAM_RIGHT,1,145,0.006896551724137931
Perseverance,2023-01-25,SKYCAM,4,145,0.027586206896551724
Perseverance,2023-01-26,NAVCAM_LEFT,42,96,0.4375
Perseverance,2023-01-26,MCZ_RIGHT,20,96,0.20833333333333334
Perseverance,2023-01-26,MCZ_LEFT,20,96,0.20833333333333334
Perseverance,2023-01-26,SKYCAM,2,96,0.020833333333333332
Perseverance,2023-01-26,SUPERCAM_RMI,12,96,0.125
Perseverance,2023-01-27,NAVCAM_LEFT,20,310,0.06451612903225806
Perseverance,2023-01-27,MCZ_RIGHT,156,310,0.5032258064516129
Perseverance,2023-01-27,MCZ_LEFT,132,310,0.4258064516129032
Perseverance,2023-01-27,SUPERCAM_RMI,2,310,0.0064516129032258064
Perseverance,2023-01-28,NAVCAM_LEFT,16,168,0.09523809523809523
Perseverance,2023-01-28,MCZ_RIGHT,70,168,0.4166666666666667
Perseverance,2023-01-28,MCZ_LEFT,70,168,0.4166666666666667
Perseverance,2023-01-28,SKYCAM,2,168,0.011904761904761904
Perseverance,2023-01-28,SUPERCAM_RMI,10,168,0.05952380952380952
Perseverance,2023-01-30,NAVCAM_LEFT,38,330,0.11515151515151516
Perseverance,2023-01-30,MCZ_RIGHT,124,330,0.37575757575757573
Perseverance,2023-01-30,MCZ_LEFT,164,330,0.49696969696969695
Perseverance,2023-01-30,SKYCAM,4,330,0.012121212121212121
Perseverance,2023-01-31,NAVCAM_LEFT,116,1096,0.10583941605839416
Perseverance,2023-01-31,NAVCAM_RIGHT,97,1096,0.0885036496350365
Perseverance,2023-01-31,MCZ_RIGHT,61,1096,0.055656934306569344
Perseverance,2023-01-31,MCZ_LEFT,742,1096,0.677007299270073
Perseverance,2023-01-31,FRONT_HAZCAM_LEFT_A,38,1096,0.03467153284671533
Perseverance,2023-01-31,FRONT_HAZCAM_RIGHT_A,38,1096,0.03467153284671533
Perseverance,2023-01-31,REAR_HAZCAM_LEFT,1,1096,0.0009124087591240876
Perseverance,2023-01-31,REAR_HAZCAM_RIGHT,1,1096,0.0009124087591240876
Perseverance,2023-01-31,SKYCAM,2,1096,0.0018248175182481751
